age_min,state,income_max,priority,ministry,scheme_type,benefits,category,description,eligibility,scheme_name,occupation,target_group,gender,age_max,family_income_max,age_group,income_group,combined_text
10,all,1000000.0,Not Available,Ministry of Finance,Not Available,Bank account + insurance,financial inclusion,Financial inclusion,Unbanked citizens,Pradhan Mantri Jan Dhan Yojana,all,General Public,all,100,Not Available,child,upper_middle,Pradhan Mantri Jan Dhan Yojana financial inclusion Financial inclusion Bank account + insurance General Public
0,all,300000.0,Not Available,Ministry of Health,Not Available,₹5 lakh insurance,health,Healthcare scheme,BPL families,Ayushman Bharat PM-JAY,all,Poor Families,all,100,Not Available,,middle,Ayushman Bharat PM-JAY health Healthcare scheme ₹5 lakh insurance Poor Families
18,rural,600000.0,Not Available,Ministry of Agriculture,Not Available,₹6000/year,farmer,Income support,Farmers,PM Kisan Samman Nidhi,farmer,Farmers,all,70,Not Available,child,upper_middle,PM Kisan Samman Nidhi farmer Income support ₹6000/year Farmers
18,rural,1000000.0,Not Available,Ministry of Agriculture,Not Available,Crop insurance,farmer,Crop protection,Farmers,PM Fasal Bima Yojana,farmer,Farmers,all,70,Not Available,child,upper_middle,PM Fasal Bima Yojana farmer Crop protection Crop insurance Farmers
18,all,600000.0,Not Available,Ministry of Housing,Not Available,House subsidy,housing,Affordable housing,EWS/LIG,PM Awas Yojana,all,Poor Families,all,70,Not Available,child,upper_middle,PM Awas Yojana housing Affordable housing House subsidy Poor Families
0,all,500000.0,Not Available,Ministry of Women,Not Available,Education support,women,Promote girls education,Girl child,Beti Bachao Beti Padhao,student,Girls,female,25,Not Available,,middle,Beti Bachao Beti Padhao women Promote girls education Education support Girls
18,all,500000.0,Not Available,Ministry of Finance,Not Available,Pension,pension,Retirement support,Workers 18-40,Atal Pension Yojana,worker,Workers,all,40,Not Available,child,middle,Atal Pension Yojana pension Retirement support Pension Workers
18,all,1000000.0,Not Available,Ministry of Finance,Not Available,Loan up to 10L,startup,Business support,Small business,PM Mudra Yojana,business,Entrepreneurs,all,65,Not Available,child,upper_middle,PM Mudra Yojana startup Business support Loan up to 10L Entrepreneurs
18,all,1000000.0,Not Available,Ministry of Finance,Not Available,Loan for SC/ST/Women,startup,Business promotion,SC/ST/Women,Stand Up India,business,Women/SC/ST,all,65,Not Available,child,upper_middle,Stand Up India startup Business promotion Loan for SC/ST/Women Women/SC/ST
10,all,1000000.0,Not Available,MeitY,Not Available,Digital services,digital,Digital empowerment,All citizens,Digital India,all,General Public,all,100,Not Available,child,upper_middle,Digital India digital Digital empowerment Digital services General Public
18,rural,200000.0,Not Available,Petroleum Ministry,Not Available,Free LPG,women,Clean fuel,BPL women,PM Ujjwala Yojana,housewife,Women,female,60,Not Available,child,low,PM Ujjwala Yojana women Clean fuel Free LPG Women
18,urban,300000.0,Not Available,Housing Ministry,Not Available,Loan for vendors,startup,Vendor support,Street vendors,PM SVANidhi,vendor,Urban Poor,all,60,Not Available,child,middle,PM SVANidhi startup Vendor support Loan for vendors Urban Poor
