scheme_name,category,scheme_type,ministry,benefits,eligibility,description,target_group,age_min,age_max,gender,family_income_max,occupation,state,priority
Indira Mahila Shakti Udyam Protsahan Yojana,Women,Government,Ministry of Women & Child Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,Female,500000,All,All,Medium
Mukhyamantri Shramik Aujaar Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Farmer,Government,Ministry of Agriculture,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Farmer,All,Medium
"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme",Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
15 Days Skill Up-gradation Training,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,High
AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aahar Anudan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aam Aadmi Bima Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aam Aadmi Bima Yojana (Maharashtra),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aapki Beti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aastha Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Aaws Bhatta Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Abdul Kalam Technology Innovation National Fellowship,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,High
Abhinandan Education Loan Subsidy Scheme,MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Abua Awas Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Academic Education (JKBOCWWB),Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Acharya Vidyasagar Gau Samvardhan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Additional Pension to 100% Disabled Ex-Serviceman having Children,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Additional Pension to 100% Disabled Ex-Serviceman having No Child,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Additional Pension to Widow of Ex-Serviceman having Children,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Additional Pension to Widow of Ex-Serviceman having No Child,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
"Adivasi Sanskriti Evam Kala Kendra/Majhi Bhavan, Manki Munda Bhavan, Parha Bhavan, Pargana Bhavan, Dumkuria Bhavan Evam Gosade Nirman Tatha Majhi Than Shed Nirman Yojana",General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Admission in Post Matric Hostel,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Agnipath Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Agricultural Skill Development Training Programme For Women Farmers And Farmers,Farmer,Government,Ministry of Agriculture,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,Female,500000,Farmer,All,Medium
Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),Farmer,Government,Ministry of Agriculture,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Akanksha Housing Scheme,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Alpasankhyak Post-Maitrik Chhaatravrtti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Alpsankhyak Merit-Cum-Means Chatravriti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Women,Government,Ministry of Women & Child Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,Female,500000,All,All,Medium
Andaman & Nicobar Islands Scheme for Health Insurance,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Annath Pension Yojana (JBOCWWB),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Antarjatiye Vivah Protsahan Anudan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Antayoshti Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Antheyesthi Anudan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Antim Sans‍kar Yojana ​,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Antya Sanskar Sahay Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Arivu Education Loan Scheme,MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Asangathit Karmakaar Silai Machine Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Asangathit Karmakar Ke Bachcho Hetu Chhatravriti Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Asangathit Karmakar Prasuti Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Assam Abhinandan Education Loan Subsidy Scheme,MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atal Asra Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atal Awasiya Vidyala Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Atal Beemit Vyakti Kalyan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
