ministry,scheme_type,family_income_max,priority,category,age_max,description,scheme_name,income_max,target_group,occupation,state,age_min,eligibility,benefits,gender
Ministry of Finance,Not Available,Not Available,Not Available,Financial Inclusion,100,Financial inclusion,Pradhan Mantri Jan Dhan Yojana,1000000,General Public,All,All,10,Unbanked citizens,Bank account + insurance,All
Ministry of Health,Not Available,Not Available,Not Available,Health,100,Healthcare scheme,Ayushman Bharat PM-JAY,300000,Poor Families,All,All,0,BPL families,₹5 lakh insurance,All
Ministry of Agriculture,Not Available,Not Available,Not Available,Farmer,70,Income support,PM Kisan Samman Nidhi,600000,Farmers,Farmer,Rural,18,Farmers,₹6000/year,All
Ministry of Agriculture,Not Available,Not Available,Not Available,Farmer,70,Crop protection,PM Fasal Bima Yojana,1000000,Farmers,Farmer,Rural,18,Farmers,Crop insurance,All
Ministry of Housing,Not Available,Not Available,Not Available,Housing,70,Affordable housing,PM Awas Yojana,600000,Poor Families,All,All,18,EWS/LIG,House subsidy,All
Ministry of Women,Not Available,Not Available,Not Available,Women,25,Promote girls education,Beti Bachao Beti Padhao,500000,Girls,Student,All,0,Girl child,Education support,Female
Ministry of Finance,Not Available,Not Available,Not Available,Pension,40,Retirement support,Atal Pension Yojana,500000,Workers,Worker,All,18,Workers 18-40,Pension,All
Ministry of Finance,Not Available,Not Available,Not Available,Startup,65,Business support,PM Mudra Yojana,1000000,Entrepreneurs,Business,All,18,Small business,Loan up to 10L,All
Ministry of Finance,Not Available,Not Available,Not Available,Startup,65,Business promotion,Stand Up India,1000000,Women/SC/ST,Business,All,18,SC/ST/Women,Loan for SC/ST/Women,All
MeitY,Not Available,Not Available,Not Available,Digital,100,Digital empowerment,Digital India,1000000,General Public,All,All,10,All citizens,Digital services,All
Petroleum Ministry,Not Available,Not Available,Not Available,Women,60,Clean fuel,PM Ujjwala Yojana,200000,Women,Housewife,Rural,18,BPL women,Free LPG,Female
Housing Ministry,Not Available,Not Available,Not Available,Startup,60,Vendor support,PM SVANidhi,300000,Urban Poor,Vendor,Urban,18,Street vendors,Loan for vendors,All
